"","Year","State_code","State","Population","Mechanism","pol_ubc","pol_vmisd","pol_mayissue","Age.Adjusted.Rate","logy","ur","law.officers","law.officers.pc","vcrime","vcrime.pc","alcc.pc","incarc","incarc.pc"
"110",2003,"DC","District of Columbia",568502,"Firearm",NA,NA,NA,25.72,3.24726889936942,7.275,4673,821.984795128249,5504,968.158423365265,3.762,NA,NA
"111",2003,"DE","Delaware",818003,"Firearm",0,1,1,7.86,2.06178660644112,4.46666666666667,3081,376.648985394919,5504,672.858168001829,3.1219,6630,810.510474900459
"112",2003,"FL","Florida",17004085,"Firearm",0,0,0,11.05,2.40243042796376,4.46666666666667,68748,404.302848403781,123356,725.449208234374,2.6087,79594,468.087521322082
"113",2003,"GA","Georgia",8622793,"Firearm",0,0,0,13.72,2.61885462229774,5.14166666666667,30944,358.862841772961,38778,449.715074918301,2.1268,47208,547.479221639671
"114",2003,"HI","Hawaii",1251154,"Firearm",0,1,1,2.89,1.06125650212434,3.90833333333333,3573,285.576355908226,3378,269.990744544636,2.3754,4021,321.38329893842
"115",2003,"IA","Iowa",2941999,"Firearm",0,0,1,6.94,1.93730177451871,4.45,7497,254.826735155246,8125,276.172765524393,2.0702,8546,290.482763590334
"116",2003,"ID","Idaho",1363380,"Firearm",0,0,0,12.33,2.51203531717625,5.56666666666667,3538,259.502119731843,3336,244.686000968182,2.0748,4291,314.732503043906
"117",2003,"IL","Illinois",12556006,"Firearm",0,1,1,9.01,2.19833507162025,6.725,50303,400.628989823675,69481,553.368642863025,2.3551,43418,345.794673879576
"118",2003,"IN","Indiana",6196638,"Firearm",0,0,0,11.19,2.41502052232383,5.275,17330,279.667781141968,21504,347.026887805936,1.9592,20693,333.939145710948
"119",2003,"KS","Kansas",2723004,"Firearm",0,0,1,11.13,2.40964416528745,5.55,10158,373.043888293958,10706,393.168721015467,1.8882,9168,336.686982464954
"120",2003,"KY","Kentucky",4117170,"Firearm",0,0,0,13.38,2.59376105470008,6.19166666666667,10084,244.925519228013,10051,244.123997794602,1.7451,10020,243.37105341776
"121",2003,"LA","Louisiana",4521042,"Firearm",0,0,0,18.61,2.92369907065416,6.28333333333333,21337,471.948723325286,28038,620.166766864807,2.3807,19498,431.272259802054
"122",2003,"MA","Massachusetts",6422565,"Firearm",0,1,1,3.09,1.12817109090965,5.73333333333333,19439,302.667236532445,30237,470.793211123593,2.487,9828,153.022974465809
"123",2003,"MD","Maryland",5496269,"Firearm",1,1,1,11.96,2.48156774852249,4.8,19290,350.965354861634,38253,695.981219259829,2.1208,23646,430.219117732411
"124",2003,"ME","Maine",1306513,"Firearm",0,1,0,6.02,1.79508725932073,5.15,2920,223.495671302161,1406,107.61469652426,2.3902,1944,148.793008565548
"125",2003,"MI","Michigan",10041152,"Firearm",0,0,0,10.33,2.33505228313155,7.09166666666667,27845,277.308818749084,50938,507.29239035521,2.1699,48878,486.776816046605
"126",2003,"MN","Minnesota",5053572,"Firearm",0,1,0,6.5,1.87180217690159,4.78333333333333,12386,245.093965219057,13189,260.983716072513,2.4301,7569,149.775248081951
"127",2003,"MO","Missouri",5709403,"Firearm",0,0,0,11.42,2.43536620422786,5.65833333333333,19048,333.62507428535,27778,486.530728344102,2.2887,29864,523.066947630076
"128",2003,"MS","Mississippi",2868312,"Firearm",0,0,0,16.81,2.82197394742052,6.14166666666667,7832,273.05258284315,9069,316.178993080251,2.1286,12400,432.310013694466
"129",2003,"MT","Montana",919630,"Firearm",0,0,0,15.68,2.75238601492226,4.74166666666667,2750,299.033306873417,3321,361.12349531877,2.6215,1994,216.826332329306
"130",2003,"NC","North Carolina",8422501,"Firearm",0,0,0,12.35,2.51365606307399,6.71666666666667,28458,337.880636642251,37737,448.049813232435,1.9993,33874,402.18457676645
"131",2003,"ND","North Dakota",638817,"Firearm",0,1,0,8.83,2.17815501461587,3.475,1569,245.610245187589,499,78.1131372521395,2.5615,1100,172.19328853177
"132",2003,"NE","Nebraska",1738643,"Firearm",0,0,1,7.64,2.03339760317843,3.94166666666667,NA,NA,5049,290.398891549329,2.2418,4073,234.263158106638
"133",2003,"NH","New Hampshire",1279840,"Firearm",0,0,0,6.8,1.91692261218206,4.46666666666667,2670,208.619827478435,1920,150.018752344043,4.0919,2427,189.633079134892
"134",2003,"NJ","New Jersey",8601402,"Firearm",0,1,1,5.42,1.69009581545155,5.84166666666667,39901,463.889491503827,31082,361.359694617226,2.2449,23082,268.351601285465
"135",2003,"NM","New Mexico",1877574,"Firearm",0,0,0,17.55,2.86505394991188,5.9,4896,260.762025890857,12419,661.4386436966,2.4022,3472,184.91947587685
"136",2003,"NV","Nevada",2248850,"Firearm",0,0,0,17.04,2.83556352140117,5.28333333333333,7856,349.33410409765,13616,605.465015452342,3.5876,10584,470.640549614247
"137",2003,"NY","New York",19175939,"Firearm",0,1,1,5.32,1.67147330335355,6.4,72604,378.620311631154,88552,461.787034262051,1.9416,65388,340.989820628862
"138",2003,"OH","Ohio",11434788,"Firearm",0,0,1,8.12,2.09433015417359,6.21666666666667,31580,276.174774731285,37659,329.337107080604,1.9546,42449,371.226821170624
"139",2003,"OK","Oklahoma",3504892,"Firearm",0,0,0,12.77,2.54709867004445,5.40833333333333,10487,299.210360832802,17552,500.78575887645,1.9348,16666,475.506805915846
"140",2003,"OR","Oregon",3547376,"Firearm",0,1,0,10.72,2.37211115564266,8.01666666666667,7503,211.508450189661,10438,294.245662145766,2.3586,12207,344.113508125443
"141",2003,"PA","Pennsylvania",12374658,"Firearm",1,1,0,9.87,2.28949985344539,5.7,27238,220.111133576378,48563,392.439128418741,2.0434,40344,326.021131250658
"142",2003,"RI","Rhode Island",1071342,"Firearm",1,0,1,3.12,1.13783300182139,5.575,3140,293.090348366815,3049,284.596328716694,2.4453,3576,333.786969987175
"143",2003,"SC","South Carolina",4150297,"Firearm",0,0,0,14.17,2.65112705370259,7.19166666666667,12175,293.352499833144,33152,798.786207348534,2.3483,22898,551.719551636907
"144",2003,"SD","South Dakota",763729,"Firearm",0,1,0,9.86,2.28848616861454,3.475,2047,268.027009580623,1319,172.705239685805,2.4142,2994,392.023872342153
"145",2003,"TN","Tennessee",5847812,"Firearm",0,0,0,14.11,2.64688376586472,5.50833333333333,23706,405.382389173934,40013,684.238822999098,1.9643,14092,240.979019161355
"146",2003,"TX","Texas",22030931,"Firearm",0,0,0,11.21,2.41680623708407,6.73333333333333,76146,345.632238601265,120824,548.428933847598,2.1905,136486,619.519892282355
"147",2003,"UT","Utah",2360137,"Firearm",0,0,0,10.51,2.35232718488886,5.56666666666667,7048,298.626732261729,5829,246.977188188652,1.295,4623,195.878459597896
"148",2003,"VA","Virginia",7366977,"Firearm",0,0,0,10.86,2.38508631450579,4.34166666666667,21806,295.996580415549,20074,272.486258610554,2.021,29353,398.440228603944
"149",2003,"VT","Vermont",617858,"Firearm",0,0,0,7.58,2.02551319965428,4.38333333333333,1322,213.965021088988,692,111.999844624493,2.5053,1491,241.317584299305
"150",2003,"WA","Washington",6104115,"Firearm",0,0,0,9.17,2.21593728626837,7.23333333333333,14080,230.664068419419,21090,345.504630892439,2.2084,16227,265.837062375135
"151",2003,"WI","Wisconsin",5479203,"Firearm",0,0,1,8.44,2.13298230860787,5.61666666666667,17616,321.50661327934,11921,217.568139015839,2.8224,20246,369.506294984873
"152",2003,"WV","West Virginia",1812295,"Firearm",0,1,0,14.01,2.63977136034892,6.56666666666667,4080,225.128911132018,4554,251.283593454708,1.7187,3790,209.127101272144
"153",2003,"WY","Wyoming",503453,"Firearm",0,0,0,17.46,2.85991255041146,4.325,2104,417.91388669846,1300,258.216755089353,2.8382,1137,225.840346566611
"154",2004,"AK","Alaska",659199,"Firearm",0,0,0,17.51,2.86277214629776,7.41666666666667,1896,287.621795542772,4122,625.304346638875,2.7095,3142,476.639072571409
"155",2004,"AL","Alabama",4530729,"Firearm",0,0,1,14.79,2.69395127672271,5.575,14476,319.507081531471,19070,420.903567615719,1.911,25391,560.417539870515
"156",2004,"AR","Arkansas",2749686,"Firearm",0,0,0,14.65,2.68444033546308,5.58333333333333,7826,284.614315961895,13638,495.983905071343,1.6827,12577,457.397681044308
"157",2004,"AZ","Arizona",5652404,"Firearm",0,0,0,15.84,2.76253838638628,4.96666666666667,19809,350.452656957995,28538,504.882524320625,2.4414,28208,499.044300442785
"158",2004,"CA","California",35574576,"Firearm",1,1,1,9.24,2.22354188565359,6.21666666666667,112584,316.473202660237,186783,525.046313974339,2.2514,163939,460.831915466821
