Year,State,State_code,State_num_code,Population,firearm.deaths.pc,Region,pol_ubc,pol_vmisd,pol_mayissue,ur,law.officers.pc,vcrime.pc,homi.pc,alcc.pc,incarc.pc,prop18.24
2003,Maryland,MD,24,5496269,11.96,South,1,1,1,4.8,350.9653549,695.9812193,9.55193423,2.1208,430.2191177,9.062474926
2003,Massachusetts,MA,25,6422565,3.09,Northeast,0,1,1,5.733333333,302.6672365,470.7932111,2.179814451,2.487,153.0229745,9.544193013
2003,Michigan,MI,26,10041152,10.33,Midwest,0,0,0,7.091666667,277.3088187,507.2923904,6.094918193,2.1699,486.776816,9.791515954
2003,Minnesota,MN,27,5053572,6.5,Midwest,0,1,0,4.783333333,245.0939652,260.9837161,2.513073921,2.4301,149.7752481,10.06547448
2003,Mississippi,MS,28,2868312,16.81,South,0,0,0,6.141666667,273.0525828,316.1789931,9.308610779,2.1286,432.3100137,11.10133765
2003,Missouri,MO,29,5709403,11.42,Midwest,0,0,0,5.658333333,333.6250743,486.5307283,5.061825203,2.2887,523.0669476,10.06609623
2003,Montana,MT,30,919630,15.68,West,0,0,0,4.741666667,299.0333069,361.1234953,3.26218153,2.6215,216.8263323,10.38406751
2003,Nebraska,NE,31,1738643,7.64,Midwest,0,0,1,3.941666667,NA,290.3988915,3.220902739,2.2418,234.2631581,10.69667551
2003,Nevada,NV,32,2248850,17.04,West,0,0,0,5.283333333,349.3341041,605.4650155,8.760032906,3.5876,470.6405496,9.006158703
2003,New Hampshire,NH,33,1279840,6.8,Northeast,0,0,0,4.466666667,208.6198275,150.0187523,1.328291036,4.0919,189.6330791,8.943930491
2003,New Jersey,NJ,34,8601402,5.42,Northeast,0,1,1,5.841666667,463.8894915,361.3596946,4.720160737,2.2449,268.3516013,8.230913984
2003,New Mexico,NM,35,1877574,17.55,West,0,0,0,5.9,260.7620259,661.4386437,6.178185254,2.4022,184.9194759,10.50520512
2003,New York,NY,36,19175939,5.32,Northeast,0,1,1,6.4,378.6203116,461.7870343,4.870687167,1.9416,340.9898206,9.579922005
2003,North Carolina,NC,37,8422501,12.35,South,0,0,0,6.716666667,337.8806366,448.0498132,6.00771671,1.9993,402.1845768,9.765222943
2003,North Dakota,ND,38,638817,8.83,Midwest,0,1,0,3.475,245.6102452,78.11313725,1.408854179,2.5615,172.1932885,12.79787482
2003,Ohio,OH,39,11434788,8.12,Midwest,0,0,1,6.216666667,276.1747747,329.3371071,4.599997831,1.9546,371.2268212,9.637371502
2003,Oklahoma,OK,40,3504892,12.77,South,0,0,0,5.408333333,299.2103608,500.7857589,5.877499221,1.9348,475.5068059,10.89956552
2003,Oregon,OR,41,3547376,10.72,West,0,1,0,8.016666667,211.5084502,294.2456621,1.916909851,2.3586,344.1135081,9.84820893
2003,Pennsylvania,PA,42,12374658,9.87,Northeast,1,1,0,5.7,220.1111336,392.4391284,5.228427323,2.0434,326.0211313,9.377786441
2003,Rhode Island,RI,44,1071342,3.12,Northeast,1,0,1,5.575,293.0903484,284.5963287,2.333521882,2.4453,333.78697,10.58513528
2003,South Carolina,SC,45,4150297,14.17,South,0,0,0,7.191666667,293.3524998,798.7862073,7.300682337,2.3483,551.7195516,10.27336116
2003,South Dakota,SD,46,763729,9.86,Midwest,0,1,0,3.475,268.0270096,172.7052397,1.309364971,2.4142,392.0238723,10.88422726
2003,Tennessee,TN,47,5847812,14.11,South,0,0,0,5.508333333,405.3823892,684.238823,6.771763525,1.9643,240.9790192,9.744379607
2003,Texas,TX,48,22030931,11.21,South,0,0,0,6.733333333,345.6322386,548.4289338,6.454561543,2.1905,619.5198923,10.83453986
2003,Utah,UT,49,2360137,10.51,West,0,0,0,5.566666667,298.6267323,246.9771882,2.542225303,1.295,195.8784596,14.12532408
2003,Vermont,VT,50,617858,7.58,Northeast,0,0,0,4.383333333,213.9650211,111.9998446,2.427742297,2.5053,241.3175843,10.12902641
2003,Virginia,VA,51,7366977,10.86,South,0,0,0,4.341666667,295.9965804,272.4862586,5.646820942,2.021,398.4402286,9.981231107
2003,Washington,WA,53,6104115,9.17,West,0,0,0,7.233333333,230.6640684,345.5046309,2.981595203,2.2084,265.8370624,10.04542018
2003,West Virginia,WV,54,1812295,14.01,South,0,1,0,6.566666667,225.1289111,251.2835935,4.028041792,1.7187,209.1271013,9.651960636
2003,Wisconsin,WI,55,5479203,8.44,Midwest,0,0,1,5.616666667,321.5066133,217.568139,3.339901807,2.8224,369.506295,10.17199034
2003,Wyoming,WY,56,503453,17.46,West,0,0,0,4.325,417.9138867,258.2167551,2.780795824,2.8382,225.8403466,11.07134132
2004,Alabama,AL,1,4530729,14.79,South,0,0,1,5.575,319.5070815,420.9035676,5.606161834,1.911,560.4175399,10.10729178
2004,Alaska,AK,2,659199,17.51,West,0,0,0,7.416666667,287.6217955,625.3043466,5.612872592,2.7095,476.6390726,10.90300719
2004,Arizona,AZ,4,5652404,15.84,West,0,0,0,4.966666667,350.452657,504.8825243,7.324317229,2.4414,499.0443004,10.10536402
2004,Arkansas,AR,5,2749686,14.65,South,0,0,0,5.583333333,284.614316,495.9839051,6.400730847,1.6827,457.397681,10.02947246
2004,California,CA,6,35574576,9.24,West,1,1,1,6.216666667,316.4732027,525.046314,6.723903048,2.2514,460.8319155,10.293843
2004,Colorado,CO,8,4575013,11.96,West,0,0,0,5.566666667,337.616527,369.8350147,4.393430139,2.684,367.9989543,10.30357728
2004,Connecticut,CT,9,3496094,5,Northeast,1,1,1,5.091666667,277.4810975,286.4053426,2.860334991,2.2467,514.6600749,8.544907545
2004,Delaware,DE,10,830803,8.78,South,0,1,1,4.3,384.5677014,611.0955305,3.370233377,3.2748,812.8280712,9.967705942
2004,District of Columbia,DC,11,567754,22.64,South,NA,NA,NA,8.083333333,854.4193436,894.2253159,34.87425892,3.8028,NA,12.74213832
2004,Florida,FL,12,17415318,10.46,South,0,0,0,3.75,414.0378028,705.1723087,5.431999576,2.6794,477.5393708,9.034265122
2004,Georgia,GA,13,8769252,12.16,South,0,0,0,5.083333333,334.1448051,451.623468,6.990333953,2.1072,582.7635014,10.3127724
2004,Hawaii,HI,15,1273569,3.1,West,0,1,1,3.291666667,269.0863236,249.6920073,2.591143472,2.499,305.3623322,10.08457335
2004,Idaho,ID,16,1391802,13.04,West,0,0,0,4.866666667,260.0944675,245.7964567,2.227328313,2.0834,322.9626053,10.9478216
2004,Illinois,IL,17,12589773,7.8,Midwest,0,1,1,6.175,398.5298226,544.7675665,6.195504875,2.225,349.9189382,9.95522318
2004,Indiana,IN,18,6233007,10.22,Midwest,0,0,0,5.4,274.4903062,320.5194539,5.069784135,2.0095,342.4189962,10.30468921
2004,Iowa,IA,19,2953635,6.45,Midwest,0,0,1,4.525,252.1977157,286.2574421,1.489689823,2.1178,288.6274032,10.66749954
2004,Kansas,KS,20,2734373,10.73,Midwest,0,0,1,5.508333333,364.4711237,373.3214159,4.461717549,1.8608,328.8139548,10.83305021
2004,Kentucky,KY,21,4146101,13.05,South,0,0,0,5.5,245.1459817,239.1644584,5.692094814,1.8117,279.2020744,10.06321361
2004,Louisiana,LA,22,4552238,19.52,South,0,0,0,5.7,470.9551653,621.0132247,12.60918256,2.362,427.7017151,11.12360558
2004,Maine,ME,23,1313688,7.9,Northeast,0,1,0,4.658333333,220.1435957,102.4596403,1.370188355,2.4382,150.7968407,8.758776818
2004,Maryland,MD,24,5546935,11.93,South,1,1,1,4.616666667,351.2390176,692.9953208,9.392574458,2.151,417.563934,9.160013593
2004,Massachusetts,MA,25,6412281,3.17,Northeast,0,1,1,5.108333333,303.5737205,457.2163946,2.666757742,2.5226,153.2216071,9.632516105
2004,Michigan,MI,26,10055315,10.52,Midwest,0,0,0,6.95,275.0386239,488.2393043,6.394628115,2.152,480.8501772,9.819682427
2004,Minnesota,MN,27,5087713,7.04,Midwest,0,1,0,4.583333333,247.1051335,268.0575732,2.221037232,2.4972,156.9074356,10.10106113
2004,Mississippi,MS,28,2889010,16.41,South,0,0,0,6.158333333,306.9909761,288.7148193,7.857362903,2.1409,402.0408375,11.02678772
2004,Missouri,MO,29,5747741,11.44,Midwest,0,0,0,5.875,331.8347156,484.9209455,6.1589414,2.3186,533.8097176,10.15435455
2004,Montana,MT,30,930009,13.05,West,0,0,0,4.508333333,296.8788474,289.5670902,3.225775234,2.6579,194.4067208,10.47903837
2004,Nebraska,NE,31,1749370,6.71,Midwest,0,0,1,3.908333333,NA,305.9958728,2.286537439,2.2781,236.4851346,10.76393216
2004,Nevada,NV,32,2346222,16.74,West,0,0,0,4.458333333,342.8916786,605.5266722,7.330934583,3.6088,470.2453562,9.025446015
2004,New Hampshire,NH,33,1290121,5.02,Northeast,0,0,0,3.8,204.9420171,169.3639589,1.317705859,4.1389,189.3620831,9.104572362
2004,New Jersey,NJ,34,8634561,5.38,Northeast,0,1,1,4.925,465.5129543,353.8222731,4.539894964,2.2999,265.5027858,8.286466446
2004,New Mexico,NM,35,1903808,15.15,West,0,0,0,5.558333333,282.2238377,678.2196524,8.876945574,2.3598,195.2402763,10.60474586
2004,New York,NY,36,19171567,4.88,Northeast,0,1,1,5.791666667,451.5436845,438.2792497,4.637075311,1.96,333.9528793,9.639165124
2004,North Carolina,NC,37,8553152,12.22,South,0,0,0,5.858333333,345.7321932,440.9134784,6.219929214,1.9869,415.5660977,9.838396418
2004,North Dakota,ND,38,644705,7.5,Midwest,0,1,0,3.383333333,250.347058,85.31033573,1.240877611,2.494,169.845123,13.19192499
2004,Ohio,OH,39,11452251,8.97,Midwest,0,0,0,6.25,244.7029846,334.266163,4.418345354,1.9726,368.6698798,9.601448658
2004,Oklahoma,OK,40,3525233,12.86,South,0,0,0,4.708333333,296.3208389,494.9743747,5.276246988,1.7017,474.1814229,10.96361574
2004,Oregon,OR,41,3569463,10.36,West,0,1,0,7.341666667,193.9787581,297.915961,2.521387671,2.4355,354.4510757,9.770937533
2004,Pennsylvania,PA,42,12410722,10.2,Northeast,1,1,0,5.358333333,217.5618792,405.6814745,5.237406816,2.0622,323.4300148,9.453495131
2004,Rhode Island,RI,44,1074579,3.61,Northeast,1,0,1,5.25,287.9267136,246.3290275,2.419552215,2.42,294.9061912,10.7179649
