"","State_code","Year","State","X","Population","Mechanism","pol_ubc","pol_vmisd","pol_mayissue","Age.Adjusted.Rate","logy","ur","law.officers","law.officers.pc","vcrime","vcrime.pc","alcc.pc","incarc","incarc.pc","prop18.24","Region"
"412","MA",2015,"Massachusetts",734,6797484,"Firearm",0,1,1,2.99,1.0952733874026,4.79166666666667,20807,306.098550581362,27860,409.857529638908,2.5187,9493,139.654613383422,10.3101927106361,"Northeast"
"413","MA",2004,"Massachusetts",173,6412281,"Firearm",0,1,1,3.17,1.15373158788919,5.10833333333333,19466,303.573720490415,29318,457.216394602794,2.5226,9825,153.2216071005,9.63251610464357,"Northeast"
"414","MA",2003,"Massachusetts",122,6422565,"Firearm",0,1,1,3.09,1.12817109090965,5.73333333333333,19439,302.667236532445,30237,470.793211123593,2.487,9828,153.022974465809,9.54419301322758,"Northeast"
"415","MA",2018,"Massachusetts",887,6885720,"Firearm",0,1,1,3.47,1.24415459395877,3.475,20340,295.393945731165,23286,338.178142590753,2.5579,8454,122.775831721301,10.1228526574488,"Northeast"
"416","MA",2009,"Massachusetts",428,6517613,"Firearm",0,1,1,3.1,1.1314021114911,8.075,16783,257.502248139004,30330,465.354417330394,2.4936,11156,171.16695943745,10.3561073663011,"Northeast"
"417","MA",2021,"Massachusetts",1040,6984723,"Firearm",NA,NA,NA,3.35,1.20896034583698,5.525,19353,277.076127428389,20909,299.35331723248,2.7856,5975,85.5438361693084,NA,"Northeast"
"418","MA",2008,"Massachusetts",377,6468967,"Firearm",0,1,1,3.34,1.20597080698861,5.33333333333333,20173,311.842679055249,29971,463.304264807658,2.5368,11174,172.732369789489,10.2276916855504,"Northeast"
"419","MA",2012,"Massachusetts",581,6664269,"Firearm",0,1,1,3.37,1.21491274436427,6.7,19282,289.334058994317,26926,404.035311299709,2.5628,11127,166.965048979866,10.4171466177798,"Northeast"
"420","MA",2001,"Massachusetts",20,6397634,"Firearm",0,1,1,3,1.09861228866811,3.78333333333333,20043,313.287693544207,30442,475.832159201355,2.4413,10203,159.480833070476,9.29635862257828,"Northeast"
"421","MD",2006,"Maryland",276,5627367,"Firearm",1,1,1,12.1,2.4932054526027,4.175,20097,357.129719813902,37565,667.541320834415,2.1815,22662,402.710539405018,9.34545409958156,"South"
"422","MD",2014,"Maryland",684,5960064,"Firearm",1,1,1,9,2.19722457733622,5.73333333333333,20745,348.066732169319,27549,462.22658011726,2.1515,21236,356.304898739342,9.37969540812481,"South"
"423","MD",2013,"Maryland",633,5925197,"Firearm",1,1,1,9.64,2.26592110862245,6.51666666666667,22726,383.548428853927,29030,489.941515868586,2.1767,21676,365.827499068807,9.51214109699034,"South"
"424","MD",2011,"Maryland",531,5840241,"Firearm",1,1,1,9.21,2.22028985026722,7.31666666666667,20453,350.208150656797,28418,486.589508891842,2.1939,22923,392.500925903571,9.68115149811993,"South"
"425","MD",2002,"Maryland",72,5440389,"Firearm",1,1,1,11.54,2.44581926107995,4.775,19516,358.724348571398,41502,762.849862390355,2.1191,23987,440.905971981048,8.90814976649648,"South"
